Domain,Buy Now Price,Floor Price,Min Offer,Lease to Own,Max Lease Period,Sale Lander,Show Buy Now Option,Show Lease to Own Option,Show Make Offer Option,Hidden,TLD,Date Added (UTC),Listing Status,Fast Transfer,Views,Leads,30-day Unique Searches,90-day Unique Searches,365-day Unique Searches,30-day Total Searches,90-day Total Searches,365-day Total Searches,GoDaddy NS
00.uno,1000,0,100,N,-,Buy It Now,Y,N,N,N,uno,Tue Mar 17 2026,Listed,TLD Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
008007.com,200,0,100,N,-,Buy It Now,Y,N,N,N,com,Tue Mar 17 2026,Listed,Registrar Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
01234567.best,100,0,100,N,-,Buy It Now,Y,N,N,N,best,Tue Mar 17 2026,Listed,TLD Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
02cloud.com,800,0,100,N,-,Buy It Now,Y,N,N,N,com,Tue Mar 17 2026,Listed,Registrar Not Eligible,1,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
03125.com,800,0,20,N,-,Buy It Now,Y,N,N,N,com,Thu Jul 09 2026,Listed,Registrar Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
094.org,6684,0,100,N,-,Buy It Now,Y,N,N,N,org,Tue Mar 17 2026,Listed,Registrar Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
098765.com,1000,0,100,N,-,Buy It Now,Y,N,N,N,com,Tue Mar 17 2026,Listed,Registrar Not Eligible,5,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
0ao.com,3273,0,100,N,-,Buy It Now,Y,N,N,N,com,Mon Feb 09 2026,Listed,Registrar Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
1024.bar,1000,0,100,N,-,Buy It Now,Y,N,N,N,bar,Tue Mar 17 2026,Listed,TLD Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
11.fyi,500,0,100,N,-,Buy It Now,Y,N,N,N,fyi,Tue Mar 17 2026,Listed,TLD Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
11505.com,2000,0,20,N,-,Buy It Now,Y,N,N,N,com,Thu Jul 09 2026,Listed,Registrar Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
12186.com,800,0,100,N,-,Buy It Now,Y,N,N,N,com,Tue Mar 17 2026,Listed,Registrar Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
122333444455555666666777777788888888999999999.cn,800,0,100,N,-,Buy It Now,Y,N,N,N,cn,Mon Feb 09 2026,Listed,TLD Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
122333444455555666666777777788888888999999999.com,100000,0,100,N,-,Buy It Now,Y,N,N,N,com,Mon Feb 09 2026,Listed,Registrar Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
12345.email,120,0,100,N,-,Buy It Now,Y,N,N,N,email,Tue Mar 17 2026,Listed,TLD Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
123456789.best,500,0,20,N,-,Buy It Now,Y,N,N,N,best,Fri May 15 2026,Listed,TLD Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
12613.com,500,0,20,N,-,Buy It Now,Y,N,N,N,com,Thu Jul 09 2026,Listed,Registrar Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
133333.best,100,0,100,N,-,Buy It Now,Y,N,N,N,best,Tue Mar 17 2026,Listed,TLD Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
1333333.xyz,100,0,100,N,-,Buy It Now,Y,N,N,N,xyz,Tue Mar 17 2026,Listed,Registrar Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
15555.de,200,0,100,N,-,Buy It Now,Y,N,N,N,de,Tue Mar 17 2026,Listed,Registrar Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
155555.best,100,0,100,N,-,Buy It Now,Y,N,N,N,best,Tue Mar 17 2026,Listed,TLD Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
1555555.xyz,100,0,100,N,-,Buy It Now,Y,N,N,N,xyz,Tue Mar 17 2026,Listed,Registrar Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
159.org,3000,0,100,N,-,Buy It Now,Y,N,N,N,org,Tue Mar 17 2026,Listed,Opt-in Required,6,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
